,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,rooms_per_bedroom,rooms_per_household,population_per_household,log_prices
22,-122.27,37.84,52,2436,541.0,1015,478,1.725,113900,0.0,0.0,0.0,1.0,0.0,4.502772643253235,5.096234309623431,2.1234309623430963,11.643084929027989
23,-122.27,37.84,52,1688,337.0,853,325,2.1806,99700,0.0,0.0,0.0,1.0,0.0,5.008902077151335,5.193846153846154,2.624615384615385,11.5099309859899
24,-122.27,37.84,52,2224,437.0,1006,422,2.6,132600,0.0,0.0,0.0,1.0,0.0,5.089244851258581,5.270142180094787,2.3838862559241707,11.795099898183592
25,-122.28,37.85,41,535,123.0,317,119,2.4038,107500,0.0,0.0,0.0,1.0,0.0,4.349593495934959,4.495798319327731,2.6638655462184873,11.58525542883217
26,-122.28,37.85,49,1130,244.0,607,239,2.4597,93800,0.0,0.0,0.0,1.0,0.0,4.631147540983607,4.7280334728033475,2.5397489539748954,11.448930795918299
27,-122.28,37.85,52,1898,421.0,1102,397,1.808,105500,0.0,0.0,0.0,1.0,0.0,4.508313539192399,4.7808564231738035,2.7758186397984885,11.566475710526321
28,-122.28,37.84,50,2082,492.0,1131,473,1.6424,108900,0.0,0.0,0.0,1.0,0.0,4.2317073170731705,4.40169133192389,2.3911205073995774,11.598194491615347
29,-122.28,37.84,52,729,160.0,395,155,1.6875,132000,0.0,0.0,0.0,1.0,0.0,4.55625,4.703225806451613,2.5483870967741935,11.790564777297387
30,-122.28,37.84,49,1916,447.0,863,378,1.9274,122300,0.0,0.0,0.0,1.0,0.0,4.286353467561521,5.068783068783069,2.2830687830687832,11.714240498256716
31,-122.28,37.84,52,2153,481.0,1168,441,1.9615,115200,0.0,0.0,0.0,1.0,0.0,4.476091476091476,4.882086167800454,2.6485260770975056,11.654433707761807
32,-122.27,37.84,48,1922,409.0,1026,335,1.7969,110400,0.0,0.0,0.0,1.0,0.0,4.699266503667482,5.737313432835821,3.062686567164179,11.611874470755124
33,-122.27,37.83,49,1655,366.0,754,329,1.375,104900,0.0,0.0,0.0,1.0,0.0,4.521857923497268,5.0303951367781155,2.291793313069909,11.560772327227417
34,-122.27,37.83,51,2665,574.0,1258,536,2.7303,109700,0.0,0.0,0.0,1.0,0.0,4.642857142857143,4.972014925373134,2.3470149253731343,11.605513761992055
35,-122.27,37.83,49,1215,282.0,570,264,1.4861,97200,0.0,0.0,0.0,1.0,0.0,4.308510638297872,4.6022727272727275,2.159090909090909,11.484536278461452
36,-122.27,37.83,48,1798,432.0,987,374,1.0972,104500,0.0,0.0,0.0,1.0,0.0,4.162037037037037,4.807486631016043,2.6390374331550803,11.556951919719207
37,-122.28,37.83,52,1511,390.0,901,403,1.4103,103900,0.0,0.0,0.0,1.0,0.0,3.8743589743589744,3.7493796526054592,2.235732009925558,11.551193801680078
38,-122.26,37.83,52,1470,330.0,689,309,3.48,191400,0.0,0.0,0.0,1.0,0.0,4.454545454545454,4.757281553398058,2.2297734627831716,12.162125982647739
39,-122.26,37.83,52,2432,715.0,1377,696,2.5898,176000,0.0,0.0,0.0,1.0,0.0,3.4013986013986015,3.4942528735632186,1.978448275862069,12.07824495582233
40,-122.26,37.83,52,1665,419.0,946,395,2.0978,155400,0.0,0.0,0.0,1.0,0.0,3.9737470167064437,4.215189873417722,2.3949367088607594,11.953764151901414
41,-122.26,37.83,51,936,311.0,517,249,1.2852,150000,0.0,0.0,0.0,1.0,0.0,3.009646302250804,3.7590361445783134,2.076305220883534,11.918397239722838
42,-122.26,37.84,49,713,202.0,462,189,1.025,118800,0.0,0.0,0.0,1.0,0.0,3.5297029702970297,3.7724867724867726,2.4444444444444446,11.685205103383671
43,-122.26,37.84,52,950,202.0,467,198,3.9643,188800,0.0,0.0,0.0,1.0,0.0,4.702970297029703,4.797979797979798,2.3585858585858586,12.14844882928968
44,-122.26,37.83,52,1443,311.0,660,292,3.0125,184400,0.0,0.0,0.0,1.0,0.0,4.639871382636656,4.941780821917808,2.26027397260274,12.124868013083418
45,-122.26,37.83,52,1656,420.0,718,382,2.6768,182300,0.0,0.0,0.0,1.0,0.0,3.942857142857143,4.335078534031414,1.8795811518324608,12.11341444611523
46,-122.26,37.83,50,1125,322.0,616,304,2.026,142500,0.0,0.0,0.0,1.0,0.0,3.4937888198757765,3.700657894736842,2.026315789473684,11.86710429621008
47,-122.27,37.82,43,1007,312.0,558,253,1.7348,137500,0.0,0.0,0.0,1.0,0.0,3.2275641025641026,3.9802371541501977,2.205533596837945,11.83138646878959
48,-122.26,37.82,40,624,195.0,423,160,0.9506,187500,0.0,0.0,0.0,1.0,0.0,3.2,3.9,2.64375,12.141539457711714
49,-122.27,37.82,40,946,375.0,700,352,1.775,112500,0.0,0.0,0.0,1.0,0.0,2.522666666666667,2.6875,1.9886363636363635,11.630717389475995
50,-122.27,37.82,21,896,453.0,735,438,0.9218,171900,0.0,0.0,0.0,1.0,0.0,1.9779249448123621,2.045662100456621,1.678082191780822,12.05467400868968
51,-122.27,37.82,43,1868,456.0,1061,407,1.5045,93800,0.0,0.0,0.0,1.0,0.0,4.0964912280701755,4.58968058968059,2.6068796068796067,11.448930795918299
52,-122.27,37.82,41,3221,853.0,1959,720,1.1108,97500,0.0,0.0,0.0,1.0,0.0,3.776084407971864,4.473611111111111,2.720833333333333,11.487617913343598
53,-122.27,37.82,52,1630,456.0,1162,400,1.2475,104200,0.0,0.0,0.0,1.0,0.0,3.574561403508772,4.075,2.905,11.554077005184336
54,-122.28,37.82,52,1170,235.0,701,233,1.6098,87500,0.0,0.0,0.0,1.0,0.0,4.9787234042553195,5.021459227467811,3.0085836909871246,11.37940550085183
55,-122.28,37.82,52,945,243.0,576,220,1.4113,83100,0.0,0.0,0.0,1.0,0.0,3.888888888888889,4.295454545454546,2.618181818181818,11.32781201446548
56,-122.28,37.82,52,1238,288.0,622,259,1.5057,87500,0.0,0.0,0.0,1.0,0.0,4.298611111111111,4.77992277992278,2.4015444015444016,11.37940550085183
57,-122.28,37.82,52,1489,335.0,728,244,0.8172,85300,0.0,0.0,0.0,1.0,0.0,4.444776119402985,6.102459016393443,2.9836065573770494,11.353941456740479
58,-122.28,37.82,52,1387,341.0,1074,304,1.2171,80300,0.0,0.0,0.0,1.0,0.0,4.067448680351906,4.5625,3.5328947368421053,11.293537353157436
59,-122.29,37.82,2,158,43.0,94,57,2.5625,60000,0.0,0.0,0.0,1.0,0.0,3.6744186046511627,2.7719298245614037,1.6491228070175439,11.002116507732017
60,-122.29,37.83,52,1121,211.0,554,187,3.3929,75700,0.0,0.0,0.0,1.0,0.0,5.312796208530806,5.994652406417113,2.962566844919786,11.234546649377918
61,-122.29,37.82,49,135,29.0,86,23,6.1183,75000,0.0,0.0,0.0,1.0,0.0,4.655172413793103,5.869565217391305,3.739130434782609,11.225256725762893
62,-122.29,37.81,50,760,190.0,377,122,0.9011,86100,0.0,0.0,0.0,1.0,0.0,4.0,6.229508196721311,3.0901639344262297,11.363276304750233
63,-122.3,37.81,52,1224,237.0,521,159,1.191,76100,0.0,0.0,0.0,1.0,0.0,5.1645569620253164,7.69811320754717,3.2767295597484276,11.239816684367907
64,-122.3,37.81,48,828,182.0,392,133,2.5938,73500,0.0,0.0,0.0,1.0,0.0,4.549450549450549,6.225563909774436,2.9473684210526314,11.205054290550551
65,-122.3,37.81,52,1010,209.0,604,187,1.1667,78400,0.0,0.0,0.0,1.0,0.0,4.832535885167464,5.401069518716578,3.229946524064171,11.269591961359195
66,-122.3,37.81,48,1455,354.0,788,332,0.8056,84400,0.0,0.0,0.0,1.0,0.0,4.110169491525424,4.382530120481928,2.3734939759036147,11.34333452885509
67,-122.29,37.8,52,1027,244.0,492,147,2.6094,81300,0.0,0.0,0.0,1.0,0.0,4.209016393442623,6.98639455782313,3.3469387755102042,11.305913595583258
68,-122.3,37.81,52,572,109.0,274,82,1.8516,85000,0.0,0.0,0.0,1.0,0.0,5.247706422018348,6.975609756097561,3.341463414634146,11.350418300109132
69,-122.29,37.81,46,2801,644.0,1823,611,0.9802,129200,0.0,0.0,0.0,1.0,0.0,4.349378881987578,4.584288052373159,2.983633387888707,11.769124610238766
70,-122.29,37.81,26,768,152.0,392,127,1.7719,82500,0.0,0.0,0.0,1.0,0.0,5.052631578947368,6.047244094488189,3.0866141732283463,11.320565693461432
71,-122.29,37.81,46,935,297.0,582,277,0.7286,95200,0.0,0.0,0.0,1.0,0.0,3.1481481481481484,3.375451263537906,2.101083032490975,11.46374572492597
72,-122.29,37.81,49,844,204.0,560,152,1.75,75000,0.0,0.0,0.0,1.0,0.0,4.137254901960785,5.552631578947368,3.6842105263157894,11.225256725762893
73,-122.29,37.81,46,12,4.0,18,7,0.4999,67500,0.0,0.0,0.0,1.0,0.0,3.0,1.7142857142857142,2.5714285714285716,11.119897691565697
74,-122.29,37.81,20,835,161.0,290,133,2.483,137500,0.0,0.0,0.0,1.0,0.0,5.186335403726708,6.2781954887218046,2.180451127819549,11.83138646878959
75,-122.28,37.81,17,1237,462.0,762,439,0.9241,177500,0.0,0.0,0.0,1.0,0.0,2.6774891774891776,2.8177676537585423,1.7357630979498861,12.086731521684555
76,-122.28,37.81,36,2914,562.0,1236,509,2.4464,102100,0.0,0.0,0.0,1.0,0.0,5.185053380782918,5.724950884086444,2.4282907662082516,11.533717798424087
77,-122.28,37.81,19,1207,243.0,721,207,1.1111,108300,0.0,0.0,0.0,1.0,0.0,4.967078189300412,5.830917874396135,3.4830917874396135,11.592669666556795
78,-122.29,37.81,23,1745,374.0,1054,325,0.8026,112500,0.0,0.0,0.0,1.0,0.0,4.665775401069519,5.369230769230769,3.243076923076923,11.630717389475995
79,-122.28,37.8,38,684,176.0,344,155,2.0114,131300,0.0,0.0,0.0,1.0,0.0,3.8863636363636362,4.412903225806452,2.2193548387096773,11.785247676408115
80,-122.28,37.81,17,924,289.0,609,289,1.5,162500,0.0,0.0,0.0,1.0,0.0,3.1972318339100347,3.1972318339100347,2.1072664359861593,11.998439434579149
81,-122.27,37.81,52,210,56.0,183,56,1.1667,112500,0.0,0.0,0.0,1.0,0.0,3.75,3.75,3.267857142857143,11.630717389475995
82,-122.28,37.81,52,340,97.0,200,87,1.5208,112500,0.0,0.0,0.0,1.0,0.0,3.5051546391752577,3.9080459770114944,2.2988505747126435,11.630717389475995
83,-122.28,37.81,52,386,164.0,346,155,0.8075,137500,0.0,0.0,0.0,1.0,0.0,2.3536585365853657,2.490322580645161,2.232258064516129,11.83138646878959
84,-122.28,37.81,35,948,184.0,467,169,1.8088,118800,0.0,0.0,0.0,1.0,0.0,5.1521739130434785,5.609467455621302,2.7633136094674557,11.685205103383671
85,-122.28,37.81,52,773,143.0,377,115,2.4083,98200,0.0,0.0,0.0,1.0,0.0,5.405594405594406,6.721739130434782,3.2782608695652176,11.494771677590096
86,-122.27,37.81,40,880,451.0,582,380,0.977,118800,0.0,0.0,0.0,1.0,0.0,1.951219512195122,2.3157894736842106,1.5315789473684212,11.685205103383671
87,-122.27,37.81,10,875,348.0,546,330,0.76,162500,0.0,0.0,0.0,1.0,0.0,2.514367816091954,2.6515151515151514,1.6545454545454545,11.998439434579149
88,-122.27,37.8,10,105,42.0,125,39,0.9722,137500,0.0,0.0,0.0,1.0,0.0,2.5,2.6923076923076925,3.2051282051282053,11.83138646878959
89,-122.27,37.8,52,249,78.0,396,85,1.2434,500001,0.0,0.0,0.0,1.0,0.0,3.1923076923076925,2.929411764705882,4.658823529411765,13.122367377396328
90,-122.27,37.8,16,994,392.0,800,362,2.0938,162500,0.0,0.0,0.0,1.0,0.0,2.5357142857142856,2.74585635359116,2.2099447513812156,11.998439434579149
91,-122.28,37.8,52,215,87.0,904,88,0.8668,137500,0.0,0.0,0.0,1.0,0.0,2.471264367816092,2.4431818181818183,10.272727272727273,11.83138646878959
92,-122.28,37.8,52,96,31.0,191,34,0.75,162500,0.0,0.0,0.0,1.0,0.0,3.096774193548387,2.823529411764706,5.617647058823529,11.998439434579149
93,-122.27,37.79,27,1055,347.0,718,302,2.6354,187500,0.0,0.0,0.0,1.0,0.0,3.0403458213256482,3.493377483443709,2.377483443708609,12.141539457711714
94,-122.27,37.8,39,1715,623.0,1327,467,1.8477,179200,0.0,0.0,0.0,1.0,0.0,2.752808988764045,3.6723768736616704,2.841541755888651,12.09626335986454
95,-122.26,37.8,36,5329,2477.0,3469,2323,2.0096,130000,0.0,0.0,0.0,1.0,0.0,2.1513928138877674,2.294016358157555,1.493327593628928,11.775297421715827
96,-122.26,37.82,31,4596,1331.0,2048,1180,2.8345,183800,0.0,0.0,0.0,1.0,0.0,3.4530428249436516,3.8949152542372882,1.735593220338983,12.121608929585332
97,-122.26,37.81,29,335,107.0,202,91,2.0062,125000,0.0,0.0,0.0,1.0,0.0,3.130841121495327,3.681318681318681,2.21978021978022,11.736077016252437
98,-122.26,37.82,22,3682,1270.0,2024,1250,1.2185,170000,0.0,0.0,0.0,1.0,0.0,2.899212598425197,2.9456,1.6192,12.04355959836804
99,-122.26,37.82,37,3633,1085.0,1838,980,2.6104,193100,0.0,0.0,0.0,1.0,0.0,3.3483870967741933,3.7071428571428573,1.8755102040816327,12.1709686470671
100,-122.25,37.81,29,4656,1414.0,2304,1250,2.4912,257800,0.0,0.0,0.0,1.0,0.0,3.292786421499293,3.7248,1.8432,12.459943248455652
101,-122.25,37.81,28,5806,1603.0,2563,1497,3.2177,273400,0.0,0.0,0.0,1.0,0.0,3.621958827199002,3.8784235136940546,1.7120908483633934,12.518694860909774
102,-122.25,37.81,39,854,242.0,389,228,3.125,237500,0.0,0.0,0.0,1.0,0.0,3.5289256198347108,3.745614035087719,1.706140350877193,12.377927112974284
103,-122.25,37.81,52,2155,701.0,895,613,2.5795,350000,0.0,0.0,0.0,1.0,0.0,3.074179743223966,3.5154975530179446,1.4600326264274062,12.765691290604371
104,-122.26,37.81,34,5871,1914.0,2689,1789,2.8406,335700,0.0,0.0,0.0,1.0,0.0,3.0673981191222572,3.281721632196758,1.5030743432084963,12.723976161813853
105,-122.24,37.82,52,1509,225.0,674,244,4.9306,313400,0.0,0.0,0.0,1.0,0.0,6.706666666666667,6.184426229508197,2.762295081967213,12.655238799709434
106,-122.24,37.81,52,2026,482.0,709,456,3.2727,268500,0.0,0.0,0.0,1.0,0.0,4.203319502074689,4.442982456140351,1.5548245614035088,12.500609917318906
107,-122.25,37.81,52,1758,460.0,686,422,3.1691,259400,0.0,0.0,0.0,1.0,0.0,3.8217391304347825,4.165876777251185,1.6255924170616114,12.466130405907165
108,-122.24,37.82,52,3481,751.0,1444,718,3.9,275700,0.0,0.0,0.0,1.0,0.0,4.635153129161118,4.848189415041783,2.011142061281337,12.52707222413625
109,-122.25,37.82,28,3337,855.0,1520,802,3.9063,225000,0.0,0.0,0.0,1.0,0.0,3.902923976608187,4.160847880299252,1.8952618453865338,12.323860125621126
110,-122.25,37.82,52,1424,289.0,550,253,5.0917,262500,0.0,0.0,0.0,1.0,0.0,4.927335640138408,5.628458498023716,2.1739130434782608,12.47801017053037
111,-122.25,37.82,32,3809,1098.0,1806,1022,2.6429,218500,0.0,0.0,0.0,1.0,0.0,3.4690346083788706,3.7270058708414875,1.7671232876712328,12.294545870166347
112,-122.25,37.82,26,3959,1196.0,1749,1217,3.0233,255000,0.0,0.0,0.0,1.0,0.0,3.310200668896321,3.2530813475760065,1.4371405094494658,12.449022745701502
113,-122.25,37.83,52,2376,559.0,939,519,3.1484,224100,0.0,0.0,0.0,1.0,0.0,4.2504472271914135,4.578034682080925,1.8092485549132948,12.319852122072682
114,-122.25,37.83,35,1613,428.0,675,422,3.4722,243100,0.0,0.0,0.0,1.0,0.0,3.7686915887850465,3.822274881516588,1.599526066350711,12.40123227382928
115,-122.25,37.83,52,1279,287.0,534,291,3.1429,231600,0.0,0.0,0.0,1.0,0.0,4.456445993031359,4.3951890034364265,1.8350515463917525,12.352771342460947
116,-122.25,37.83,28,5022,1750.0,2558,1661,2.4234,218500,0.0,0.0,0.0,1.0,0.0,2.8697142857142857,3.0234798314268514,1.5400361228175798,12.294545870166347
117,-122.25,37.83,52,4190,1105.0,1786,1037,3.0897,234100,0.0,0.0,0.0,1.0,0.0,3.7918552036199094,4.040501446480231,1.7222757955641272,12.363507925148648
118,-122.23,37.84,50,2515,399.0,970,373,5.8596,327600,0.0,0.0,0.0,1.0,0.0,6.303258145363409,6.742627345844504,2.6005361930294906,12.699551683459445
119,-122.23,37.84,47,3175,454.0,1098,485,5.2868,347600,0.0,0.0,0.0,1.0,0.0,6.993392070484582,6.546391752577319,2.263917525773196,12.758810549239202
120,-122.24,37.83,41,2576,406.0,794,376,5.956,366100,0.0,0.0,0.0,1.0,0.0,6.344827586206897,6.851063829787234,2.1117021276595747,12.810664530598725
121,-122.24,37.85,37,334,54.0,98,47,4.9643,335000,0.0,0.0,0.0,1.0,0.0,6.185185185185185,7.1063829787234045,2.0851063829787235,12.721888795877375
122,-122.23,37.85,52,2800,411.0,1061,403,6.3434,373600,0.0,0.0,0.0,1.0,0.0,6.81265206812652,6.947890818858561,2.632754342431762,12.830943661992771
123,-122.24,37.84,52,3529,574.0,1177,555,5.1773,389500,0.0,0.0,0.0,1.0,0.0,6.148083623693379,6.358558558558559,2.120720720720721,12.87262171168374
124,-122.24,37.85,52,2612,365.0,901,367,7.2354,391100,0.0,0.0,0.0,1.0,0.0,7.156164383561644,7.11716621253406,2.455040871934605,12.876721117631158
125,-122.22,37.85,28,5287,1048.0,2031,956,5.457,337300,0.0,0.0,0.0,1.0,0.0,5.044847328244275,5.5303347280334725,2.1244769874476988,12.72873098576518
126,-122.22,37.84,50,2935,473.0,1031,479,7.5,295200,0.0,0.0,0.0,1.0,0.0,6.20507399577167,6.127348643006263,2.152400835073069,12.595411759236592
127,-122.21,37.84,44,3424,597.0,1358,597,6.0194,292300,0.0,0.0,0.0,1.0,0.0,5.735343383584589,5.735343383584589,2.274706867671692,12.585539372236147
128,-122.21,37.83,40,4991,674.0,1616,654,7.5544,411500,0.0,0.0,0.0,1.0,0.0,7.405044510385757,7.631498470948012,2.470948012232416,12.927566729229966
129,-122.2,37.84,30,2211,346.0,844,343,6.0666,311500,0.0,0.0,0.0,1.0,0.0,6.390173410404624,6.446064139941691,2.4606413994169096,12.649157827477366
130,-122.21,37.84,34,3038,490.0,1140,496,7.0548,325900,0.0,0.0,0.0,1.0,0.0,6.2,6.125,2.2983870967741935,12.694348933246843
131,-122.19,37.84,18,1617,210.0,533,194,11.6017,392600,0.0,0.0,0.0,1.0,0.0,7.7,8.335051546391753,2.747422680412371,12.880549107943006
132,-122.2,37.84,35,2865,460.0,1072,443,7.4882,319300,0.0,0.0,0.0,1.0,0.0,6.228260869565218,6.467268623024831,2.419864559819413,12.673889510548893
133,-122.21,37.83,34,5065,788.0,1627,766,6.8976,333300,0.0,0.0,0.0,1.0,0.0,6.427664974619289,6.6122715404699735,2.1240208877284594,12.71680126459136
134,-122.19,37.83,28,1326,184.0,463,190,8.2049,335200,0.0,0.0,0.0,1.0,0.0,7.206521739130435,6.978947368421053,2.4368421052631577,12.722485630879172
135,-122.2,37.83,26,1589,223.0,542,211,8.401,351200,0.0,0.0,0.0,1.0,0.0,7.125560538116592,7.530805687203792,2.5687203791469195,12.769113988119456
136,-122.19,37.83,29,1791,271.0,661,269,6.8538,368900,0.0,0.0,0.0,1.0,0.0,6.608856088560886,6.657992565055762,2.45724907063197,12.818283594342818
137,-122.19,37.82,32,1835,264.0,635,263,8.317,365900,0.0,0.0,0.0,1.0,0.0,6.950757575757576,6.977186311787072,2.414448669201521,12.81011808399072
138,-122.2,37.82,37,1229,181.0,420,176,7.0175,366700,0.0,0.0,0.0,1.0,0.0,6.790055248618785,6.982954545454546,2.3863636363636362,12.812302081080515
139,-122.2,37.82,39,3770,534.0,1265,500,6.3302,362800,0.0,0.0,0.0,1.0,0.0,7.059925093632959,7.54,2.53,12.801609753558902
140,-122.18,37.81,30,292,38.0,126,52,6.3624,483300,0.0,0.0,0.0,1.0,0.0,7.684210526315789,5.615384615384615,2.423076923076923,13.08839492693925
141,-122.21,37.82,52,2375,333.0,813,350,7.0549,331400,0.0,0.0,0.0,1.0,0.0,7.132132132132132,6.785714285714286,2.322857142857143,12.711084401471556
142,-122.2,37.81,45,2964,436.0,1067,426,6.7851,323500,0.0,0.0,0.0,1.0,0.0,6.798165137614679,6.957746478873239,2.504694835680751,12.686957484108422
143,-122.21,37.8,50,2833,605.0,1260,552,2.8929,216700,0.0,0.0,0.0,1.0,0.0,4.682644628099173,5.132246376811594,2.282608695652174,12.286273802188468
144,-122.21,37.8,38,2254,535.0,951,487,3.0812,233100,0.0,0.0,0.0,1.0,0.0,4.213084112149533,4.628336755646817,1.9527720739219712,12.359227115018937
145,-122.21,37.81,52,1389,212.0,510,224,5.2402,296400,0.0,0.0,0.0,1.0,0.0,6.55188679245283,6.200892857142857,2.2767857142857144,12.59946854621754
146,-122.22,37.81,52,1971,335.0,765,308,6.5217,273700,0.0,0.0,0.0,1.0,0.0,5.883582089552239,6.39935064935065,2.4837662337662336,12.519791548657462
147,-122.22,37.8,52,2183,465.0,1129,460,3.2632,227700,0.0,0.0,0.0,1.0,0.0,4.694623655913978,4.745652173913044,2.4543478260869565,12.33578864378571
148,-122.22,37.8,52,2286,464.0,1073,441,3.0298,199600,0.0,0.0,0.0,1.0,0.0,4.926724137931035,5.183673469387755,2.433106575963719,12.20407565286699
149,-122.22,37.8,52,2721,541.0,1185,515,4.5428,239800,0.0,0.0,0.0,1.0,0.0,5.029574861367838,5.283495145631068,2.3009708737864076,12.38756469170864
150,-122.22,37.81,52,2024,339.0,756,340,4.072,270100,0.0,0.0,0.0,1.0,0.0,5.9705014749262535,5.952941176470588,2.223529411764706,12.506551242106323
151,-122.22,37.81,52,2944,536.0,1034,521,5.3509,302100,0.0,0.0,0.0,1.0,0.0,5.492537313432836,5.65067178502879,1.9846449136276392,12.618516677531483
152,-122.23,37.8,52,2033,486.0,787,459,3.1603,269500,0.0,0.0,0.0,1.0,0.0,4.183127572016461,4.429193899782135,1.7145969498910676,12.504327379899443
153,-122.23,37.81,52,1433,229.0,612,213,4.7708,314700,0.0,0.0,0.0,1.0,0.0,6.25764192139738,6.727699530516432,2.8732394366197185,12.659378260676938
154,-122.22,37.81,52,2927,402.0,1021,380,8.1564,390100,0.0,0.0,0.0,1.0,0.0,7.281094527363184,7.7026315789473685,2.6868421052631577,12.874160958936733
155,-122.23,37.81,52,2315,292.0,861,258,8.8793,410300,0.0,0.0,0.0,1.0,0.0,7.928082191780822,8.972868217054264,3.3372093023255816,12.924646315668351
156,-122.24,37.81,52,2485,313.0,953,327,6.8591,352400,0.0,0.0,0.0,1.0,0.0,7.939297124600639,7.599388379204893,2.914373088685015,12.772525010724586
157,-122.24,37.81,52,1490,238.0,634,256,6.0302,287300,0.0,0.0,0.0,1.0,0.0,6.260504201680672,5.8203125,2.4765625,12.568285725643538
158,-122.23,37.81,52,2814,365.0,878,352,7.508,348700,0.0,0.0,0.0,1.0,0.0,7.7095890410958905,7.994318181818182,2.4943181818181817,12.761970100454297
159,-122.24,37.81,52,2093,550.0,918,483,2.7477,243800,0.0,0.0,0.0,1.0,0.0,3.8054545454545456,4.333333333333333,1.9006211180124224,12.40410759774362
160,-122.24,37.8,52,888,168.0,360,175,2.1944,211500,0.0,0.0,0.0,1.0,0.0,5.285714285714286,5.074285714285714,2.057142857142857,12.261985005589679
