longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity_-1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,rooms_per_bedroom,rooms_per_household,population_per_household
-121.94,37.73,22,6719,1068.0,2843,994,6.1265,1.0,0.0,0.0,0.0,0.0,6.29119850187266,6.759557344064386,2.8601609657947686
-117.55,33.88,19,2472,618.0,2143,610,2.2372,0.0,1.0,0.0,0.0,0.0,4.0,4.052459016393443,3.5131147540983605
-122.05,37.97,16,60,10.0,65,19,6.1359,0.0,0.0,0.0,1.0,0.0,6.0,3.1578947368421053,3.421052631578948
-118.2,34.13,50,2929,588.0,1931,574,3.3438,1.0,0.0,0.0,0.0,0.0,4.9812925170068025,5.102787456445993,3.36411149825784
-124.16,40.6,39,1322,283.0,642,292,2.4519,0.0,0.0,0.0,0.0,1.0,4.671378091872792,4.527397260273973,2.198630136986301
-124.0,40.22,16,2088,535.0,816,326,1.319,1.0,0.0,0.0,0.0,0.0,3.902803738317757,6.404907975460123,2.503067484662577
-118.3,33.98,48,2010,445.0,1208,404,1.6611,1.0,0.0,0.0,0.0,0.0,4.51685393258427,4.975247524752476,2.99009900990099
-122.22,37.47,35,367,113.0,398,109,2.5,0.0,0.0,0.0,0.0,1.0,3.247787610619469,3.36697247706422,3.651376146788991
-115.53,32.97,35,1583,340.0,933,318,2.4063,0.0,1.0,0.0,0.0,0.0,4.655882352941177,4.977987421383648,2.9339622641509435
-120.97,37.69,15,4065,841.0,1986,680,3.072,0.0,1.0,0.0,0.0,0.0,4.833531510107015,5.977941176470588,2.920588235294117
-117.79,33.71,16,6339,862.0,3132,825,7.1069,1.0,0.0,0.0,0.0,0.0,7.353828306264501,7.683636363636364,3.796363636363637
-120.65,37.33,25,1731,311.0,810,266,4.1058,0.0,1.0,0.0,0.0,0.0,5.565916398713826,6.507518796992481,3.045112781954887
-118.12,34.14,52,2337,352.0,981,328,5.8692,1.0,0.0,0.0,0.0,0.0,6.639204545454546,7.125,2.990853658536585
-117.94,33.77,32,714,142.0,654,154,4.5052,1.0,0.0,0.0,0.0,0.0,5.028169014084507,4.636363636363637,4.246753246753247
-117.07,33.11,31,2055,473.0,1326,427,3.0915,1.0,0.0,0.0,0.0,0.0,4.3446088794926006,4.812646370023419,3.1053864168618266
-121.9,37.3,52,1575,284.0,629,284,5.6437,1.0,0.0,0.0,0.0,0.0,5.545774647887324,5.545774647887324,2.214788732394366
-118.29,33.75,37,1319,292.0,766,285,2.7031,0.0,0.0,0.0,0.0,1.0,4.517123287671233,4.628070175438596,2.687719298245614
-121.32,38.7,16,2966,578.0,1365,480,3.2444,0.0,1.0,0.0,0.0,0.0,5.131487889273356,6.179166666666666,2.84375
-121.27,37.88,43,968,249.0,664,240,1.6458,0.0,1.0,0.0,0.0,0.0,3.887550200803213,4.033333333333333,2.7666666666666666
-122.28,41.38,15,5266,1031.0,2147,885,2.8036,0.0,1.0,0.0,0.0,0.0,5.1076624636275465,5.950282485875706,2.425988700564972
-117.29,35.54,35,7922,1636.0,3431,1329,3.4145,0.0,1.0,0.0,0.0,0.0,4.842298288508557,5.9608728367193375,2.581640331075997
-122.46,37.98,10,1325,189.0,427,162,12.0933,0.0,0.0,0.0,1.0,0.0,7.01058201058201,8.179012345679013,2.635802469135802
-122.35,37.94,34,1880,459.0,1358,422,1.6571,0.0,0.0,0.0,1.0,0.0,4.095860566448802,4.454976303317536,3.2180094786729856
-118.05,33.96,37,2622,652.0,2778,644,2.9714,1.0,0.0,0.0,0.0,0.0,4.021472392638037,4.071428571428571,4.313664596273292
-122.39,37.8,25,4561,1474.0,1525,1169,4.5581,0.0,0.0,0.0,1.0,0.0,3.094301221166893,3.9016253207869975,1.3045337895637297
-118.14,33.76,44,1633,536.0,741,513,3.385,0.0,0.0,0.0,0.0,1.0,3.046641791044776,3.1832358674463936,1.4444444444444444
-117.94,33.81,24,4602,1131.0,3003,1014,3.6771,1.0,0.0,0.0,0.0,0.0,4.068965517241379,4.538461538461538,2.9615384615384617
-117.83,33.82,23,1100,285.0,940,267,3.6953,1.0,0.0,0.0,0.0,0.0,3.8596491228070176,4.119850187265918,3.5205992509363297
-118.2,33.99,33,1134,375.0,1615,354,2.1468,1.0,0.0,0.0,0.0,0.0,3.024,3.2033898305084745,4.562146892655368
-118.26,34.08,50,1791,660.0,2183,675,1.7945,1.0,0.0,0.0,0.0,0.0,2.713636363636364,2.6533333333333333,3.234074074074074
-122.11,37.36,34,1575,183.0,511,180,13.1867,0.0,0.0,0.0,1.0,0.0,8.60655737704918,8.75,2.838888888888889
-118.33,33.98,38,3063,796.0,2153,721,1.8472,1.0,0.0,0.0,0.0,0.0,3.847989949748744,4.2482662968099865,2.986130374479889
-118.02,33.96,36,2071,398.0,988,404,4.6226,1.0,0.0,0.0,0.0,0.0,5.203517587939698,5.126237623762377,2.445544554455445
-117.39,33.93,26,3014,494.0,1832,485,4.8333,0.0,1.0,0.0,0.0,0.0,6.101214574898785,6.214432989690722,3.777319587628866
-117.24,34.59,4,5027,797.0,1869,686,3.5507,0.0,1.0,0.0,0.0,0.0,6.307402760351318,7.32798833819242,2.724489795918368
-119.06,34.35,34,2426,646.0,2116,631,2.0682,1.0,0.0,0.0,0.0,0.0,3.7554179566563466,3.844690966719493,3.353407290015848
-121.76,37.68,35,1864,357.0,1189,349,4.2361,0.0,1.0,0.0,0.0,0.0,5.221288515406163,5.340974212034384,3.4068767908309456
-117.27,33.77,16,2876,576.0,1859,545,2.0878,1.0,0.0,0.0,0.0,0.0,4.993055555555555,5.277064220183486,3.411009174311926
-117.05,32.61,26,1563,286.0,1145,313,3.8615,0.0,0.0,0.0,0.0,1.0,5.465034965034965,4.993610223642173,3.65814696485623
-117.64,33.64,11,2422,429.0,810,395,6.1935,1.0,0.0,0.0,0.0,0.0,5.645687645687645,6.131645569620253,2.050632911392405
-118.05,33.86,16,2676,391.0,1377,395,6.5513,1.0,0.0,0.0,0.0,0.0,6.843989769820972,6.774683544303797,3.4860759493670885
-121.32,37.98,37,3247,643.0,1737,665,3.066,0.0,1.0,0.0,0.0,0.0,5.049766718506999,4.882706766917293,2.61203007518797
-115.53,34.91,12,807,199.0,246,102,2.5391,0.0,1.0,0.0,0.0,0.0,4.055276381909548,7.911764705882353,2.411764705882353
-118.27,33.94,30,1041,275.0,877,270,1.5268,1.0,0.0,0.0,0.0,0.0,3.7854545454545456,3.855555555555556,3.248148148148148
-121.35,38.62,28,4175,796.0,2032,830,3.4299,0.0,1.0,0.0,0.0,0.0,5.244974874371859,5.030120481927711,2.4481927710843374
-117.93,33.74,30,1654,434.0,1843,467,3.1403,1.0,0.0,0.0,0.0,0.0,3.811059907834101,3.541755888650964,3.9464668094218416
-119.81,36.77,48,1805,329.0,741,331,2.5804,0.0,1.0,0.0,0.0,0.0,5.486322188449848,5.453172205438066,2.2386706948640485
-120.94,37.61,13,3309,603.0,1796,555,3.8372,0.0,1.0,0.0,0.0,0.0,5.487562189054726,5.962162162162162,3.236036036036036
-115.55,32.98,24,2565,530.0,1447,473,3.2593,0.0,1.0,0.0,0.0,0.0,4.839622641509434,5.422832980972516,3.059196617336152
-117.21,34.13,31,3037,565.0,1834,575,3.3445,0.0,1.0,0.0,0.0,0.0,5.375221238938053,5.281739130434783,3.1895652173913045
-118.1,33.84,36,1557,270.0,697,251,4.5417,1.0,0.0,0.0,0.0,0.0,5.766666666666667,6.203187250996016,2.7768924302788847
-119.68,36.32,26,592,121.0,268,116,1.7596,0.0,1.0,0.0,0.0,0.0,4.892561983471074,5.103448275862069,2.310344827586207
-117.1,33.56,6,1868,289.0,750,247,4.3833,1.0,0.0,0.0,0.0,0.0,6.463667820069205,7.562753036437247,3.0364372469635628
-119.09,35.33,9,7085,1148.0,3084,1052,4.997,0.0,1.0,0.0,0.0,0.0,6.171602787456446,6.734790874524715,2.931558935361217
-117.86,33.63,17,3095,551.0,1175,534,5.3099,1.0,0.0,0.0,0.0,0.0,5.617059891107078,5.795880149812734,2.200374531835206
-117.92,34.11,24,2838,695.0,2151,645,3.2202,1.0,0.0,0.0,0.0,0.0,4.083453237410072,4.4,3.3348837209302324
-119.71,36.82,12,2144,568.0,1320,566,2.3381,0.0,1.0,0.0,0.0,0.0,3.774647887323944,3.7879858657243815,2.3321554770318023
-122.31,37.56,40,1351,330.0,701,297,3.32,0.0,0.0,0.0,0.0,1.0,4.093939393939394,4.548821548821548,2.3602693602693603
-119.19,34.21,34,3413,693.0,2223,651,3.8239,0.0,0.0,0.0,0.0,1.0,4.924963924963925,5.242703533026114,3.414746543778802
-117.9,33.85,31,3413,764.0,2326,728,4.325,1.0,0.0,0.0,0.0,0.0,4.467277486910994,4.688186813186813,3.1950549450549453
-117.28,33.2,11,1472,261.0,1012,285,4.21,0.0,0.0,0.0,0.0,1.0,5.639846743295019,5.1649122807017545,3.550877192982456
-118.46,34.2,22,4855,1350.0,2519,1258,3.0893,1.0,0.0,0.0,0.0,0.0,3.596296296296296,3.859300476947536,2.0023847376788555
-118.37,34.05,52,1563,306.0,776,308,3.625,1.0,0.0,0.0,0.0,0.0,5.107843137254902,5.074675324675325,2.51948051948052
-121.84,38.02,46,66,22.0,37,21,0.536,0.0,1.0,0.0,0.0,0.0,3.0,3.142857142857143,1.761904761904762
-117.82,33.68,3,7105,1459.0,3068,1241,6.1395,1.0,0.0,0.0,0.0,0.0,4.8697738176833445,5.72522159548751,2.4721998388396456
-117.93,33.85,31,2149,465.0,966,302,3.875,1.0,0.0,0.0,0.0,0.0,4.621505376344086,7.1158940397351,3.198675496688742
-118.33,33.97,44,2526,579.0,1423,573,2.5363,1.0,0.0,0.0,0.0,0.0,4.362694300518135,4.408376963350785,2.4834205933682374
-117.61,33.42,31,3959,856.0,1919,775,4.0313,0.0,0.0,0.0,0.0,1.0,4.625,5.108387096774194,2.4761290322580645
-117.89,33.88,33,1582,256.0,771,240,5.3836,1.0,0.0,0.0,0.0,0.0,6.1796875,6.591666666666667,3.2125
-118.27,33.78,21,3354,1174.0,4426,1110,2.5262,1.0,0.0,0.0,0.0,0.0,2.856899488926746,3.0216216216216214,3.987387387387388
-118.18,33.94,44,1337,245.0,968,240,3.4688,1.0,0.0,0.0,0.0,0.0,5.457142857142857,5.570833333333334,4.033333333333333
-117.15,34.06,25,3670,644.0,1815,634,4.0658,0.0,1.0,0.0,0.0,0.0,5.698757763975156,5.788643533123029,2.862776025236593
-118.06,33.78,22,4048,562.0,1637,541,7.3463,1.0,0.0,0.0,0.0,0.0,7.202846975088968,7.482439926062846,3.0258780036968576
-122.2,37.8,43,3045,499.0,1115,455,4.9559,0.0,0.0,0.0,1.0,0.0,6.102204408817635,6.6923076923076925,2.4505494505494507
-118.52,34.23,35,1471,210.0,735,219,8.3841,1.0,0.0,0.0,0.0,0.0,7.004761904761905,6.71689497716895,3.356164383561644
-122.54,37.9,48,2491,460.0,937,455,4.4375,0.0,0.0,0.0,1.0,0.0,5.415217391304348,5.474725274725275,2.059340659340659
-119.69,36.46,29,1702,301.0,914,280,2.8125,0.0,1.0,0.0,0.0,0.0,5.654485049833888,6.078571428571428,3.2642857142857142
-117.24,32.79,18,1741,602.0,508,283,3.2625,0.0,0.0,0.0,0.0,1.0,2.89202657807309,6.151943462897527,1.795053003533569
-118.26,33.77,36,886,253.0,809,219,2.4545,0.0,0.0,0.0,0.0,1.0,3.5019762845849804,4.045662100456621,3.6940639269406392
-120.76,38.65,17,2319,430.0,1126,372,3.5511,0.0,1.0,0.0,0.0,0.0,5.3930232558139535,6.233870967741935,3.0268817204301075
-122.02,37.87,14,3056,369.0,1209,377,8.4352,0.0,0.0,0.0,1.0,0.0,8.281842818428185,8.106100795755967,3.206896551724138
-119.74,36.8,18,10862,2401.0,5466,2209,2.4678,0.0,1.0,0.0,0.0,0.0,4.523948354852145,4.91715708465369,2.474422815753735
-122.71,37.88,21,2845,552.0,599,250,4.3125,0.0,0.0,0.0,0.0,1.0,5.153985507246377,11.38,2.396
-119.76,36.73,39,1553,363.0,1449,341,1.4419,0.0,1.0,0.0,0.0,0.0,4.278236914600551,4.55425219941349,4.249266862170088
-118.33,34.02,46,2223,361.0,968,373,4.26,1.0,0.0,0.0,0.0,0.0,6.157894736842105,5.959785522788204,2.5951742627345844
-118.2,33.77,22,1118,437.0,1190,399,1.9797,0.0,0.0,0.0,0.0,1.0,2.5583524027459954,2.8020050125313283,2.982456140350877
-122.76,38.46,14,4742,756.0,2149,732,4.5152,1.0,0.0,0.0,0.0,0.0,6.272486772486772,6.478142076502732,2.935792349726776
-124.13,40.8,31,2152,462.0,1259,420,2.2478,0.0,0.0,0.0,0.0,1.0,4.658008658008658,5.123809523809523,2.997619047619048
-122.43,37.73,52,1029,205.0,461,212,5.0782,0.0,0.0,0.0,1.0,0.0,5.019512195121951,4.85377358490566,2.1745283018867925
-118.1,34.1,41,1379,315.0,1249,309,2.6553,1.0,0.0,0.0,0.0,0.0,4.377777777777778,4.462783171521036,4.042071197411003
-118.27,34.27,27,5205,859.0,2363,888,6.1946,1.0,0.0,0.0,0.0,0.0,6.059371362048895,5.861486486486487,2.661036036036036
-122.0,37.54,29,4133,744.0,2023,749,5.1616,1.0,0.0,0.0,0.0,0.0,5.55510752688172,5.518024032042724,2.7009345794392523
-118.08,33.85,19,4261,678.0,2621,661,6.2427,1.0,0.0,0.0,0.0,0.0,6.284660766961652,6.446293494704992,3.965204236006052
-122.23,37.8,52,783,184.0,488,186,1.9375,0.0,0.0,0.0,1.0,0.0,4.255434782608695,4.209677419354839,2.6236559139784945
-117.93,33.91,24,1698,297.0,676,273,5.2017,1.0,0.0,0.0,0.0,0.0,5.717171717171717,6.21978021978022,2.4761904761904763
-118.45,34.03,45,727,168.0,520,175,2.6528,1.0,0.0,0.0,0.0,0.0,4.3273809523809526,4.154285714285714,2.9714285714285715
-123.83,41.88,18,1504,357.0,660,258,3.13,1.0,0.0,0.0,0.0,0.0,4.212885154061625,5.829457364341085,2.558139534883721
-118.19,33.76,25,1442,392.0,632,385,4.6629,0.0,0.0,0.0,0.0,1.0,3.678571428571429,3.7454545454545456,1.6415584415584417
-122.33,37.55,51,2565,332.0,870,309,9.3694,0.0,0.0,0.0,0.0,1.0,7.725903614457831,8.300970873786408,2.8155339805825244
-122.86,38.1,44,2602,509.0,691,343,4.3125,0.0,0.0,0.0,0.0,1.0,5.111984282907662,7.58600583090379,2.0145772594752187
-121.21,38.67,11,5500,956.0,2827,946,4.1071,0.0,1.0,0.0,0.0,0.0,5.753138075313808,5.813953488372093,2.988372093023256
-121.99,37.96,16,3324,479.0,1470,461,7.6166,0.0,1.0,0.0,0.0,0.0,6.939457202505219,7.210412147505423,3.188720173535792
-118.34,34.04,42,1681,360.0,987,337,2.6,1.0,0.0,0.0,0.0,0.0,4.669444444444444,4.98813056379822,2.9287833827893177
-116.99,32.72,11,1112,164.0,441,174,4.7679,1.0,0.0,0.0,0.0,0.0,6.780487804878049,6.390804597701149,2.534482758620689
-117.78,34.05,39,2933,590.0,1886,550,3.9224,0.0,1.0,0.0,0.0,0.0,4.9711864406779664,5.332727272727273,3.429090909090909
-117.14,33.07,12,9302,1603.0,4074,1504,4.3513,1.0,0.0,0.0,0.0,0.0,5.802869619463506,6.184840425531915,2.708776595744681
-120.98,38.66,9,2073,404.0,916,373,3.225,0.0,1.0,0.0,0.0,0.0,5.131188118811881,5.557640750670242,2.455764075067024
-118.09,33.81,36,1878,323.0,846,325,7.1937,1.0,0.0,0.0,0.0,0.0,5.814241486068111,5.7784615384615385,2.603076923076923
-117.71,34.05,20,2281,444.0,1545,481,2.5735,0.0,1.0,0.0,0.0,0.0,5.137387387387387,4.742203742203742,3.212058212058212
-120.48,39.66,32,1516,289.0,304,131,1.8839,0.0,1.0,0.0,0.0,0.0,5.2456747404844295,11.572519083969466,2.3206106870229006
-118.37,34.21,34,2272,558.0,2164,484,3.7143,1.0,0.0,0.0,0.0,0.0,4.07168458781362,4.694214876033058,4.471074380165289
-118.08,33.95,32,1962,387.0,1274,398,4.8304,1.0,0.0,0.0,0.0,0.0,5.069767441860465,4.929648241206031,3.201005025125628
-118.47,34.05,22,5215,1193.0,2048,1121,4.7009,1.0,0.0,0.0,0.0,0.0,4.371332774518022,4.652096342551293,1.826940231935772
-118.13,34.01,45,1179,268.0,736,252,2.7083,1.0,0.0,0.0,0.0,0.0,4.399253731343284,4.678571428571429,2.9206349206349205
-118.06,33.88,17,7187,1073.0,3844,1068,6.5901,1.0,0.0,0.0,0.0,0.0,6.698042870456663,6.729400749063671,3.599250936329588
-117.14,32.75,37,1832,525.0,955,488,2.7852,0.0,0.0,0.0,0.0,1.0,3.489523809523809,3.7540983606557377,1.9569672131147544
-121.21,39.49,18,697,150.0,356,114,2.5568,0.0,1.0,0.0,0.0,0.0,4.6466666666666665,6.114035087719298,3.12280701754386
-118.27,33.79,26,2109,651.0,2120,605,2.1447,1.0,0.0,0.0,0.0,0.0,3.23963133640553,3.4859504132231405,3.5041322314049586
-118.23,34.21,50,309,47.0,121,45,6.213,1.0,0.0,0.0,0.0,0.0,6.574468085106383,6.866666666666666,2.688888888888889
-119.81,34.46,22,3488,452.0,1479,458,7.1687,0.0,0.0,0.0,0.0,1.0,7.716814159292035,7.615720524017467,3.2292576419213974
-121.47,38.5,17,1895,424.0,620,417,1.7188,0.0,1.0,0.0,0.0,0.0,4.46933962264151,4.5443645083932855,1.486810551558753
-117.36,34.28,18,3903,715.0,1388,428,4.2386,0.0,1.0,0.0,0.0,0.0,5.4587412587412585,9.119158878504672,3.2429906542056077
-119.16,34.27,24,1824,331.0,1049,320,5.9181,0.0,0.0,0.0,0.0,1.0,5.5105740181268885,5.7,3.278125
-118.14,34.68,25,1703,342.0,775,309,4.5455,0.0,1.0,0.0,0.0,0.0,4.97953216374269,5.511326860841424,2.5080906148867315
-117.24,34.04,4,4289,682.0,1981,705,5.3366,0.0,1.0,0.0,0.0,0.0,6.288856304985337,6.083687943262412,2.8099290780141843
-118.33,34.03,46,2312,625.0,1552,603,1.6429,1.0,0.0,0.0,0.0,0.0,3.6992,3.8341625207296848,2.57379767827529
-119.32,36.2,15,1562,275.0,961,287,3.4231,0.0,1.0,0.0,0.0,0.0,5.68,5.442508710801394,3.3484320557491287
-118.56,34.17,35,2987,391.0,1244,387,7.1322,1.0,0.0,0.0,0.0,0.0,7.639386189258312,7.718346253229974,3.214470284237726
-118.36,33.93,19,3103,918.0,2033,738,2.6961,1.0,0.0,0.0,0.0,0.0,3.3801742919389977,4.2046070460704605,2.754742547425474
-118.0,34.03,25,6909,1154.0,3912,1121,5.257,1.0,0.0,0.0,0.0,0.0,5.987001733102253,6.163247100802854,3.489741302408564
-119.77,36.76,43,1623,294.0,781,272,1.869,0.0,1.0,0.0,0.0,0.0,5.520408163265306,5.966911764705882,2.8713235294117645
-118.26,34.16,20,3407,885.0,1883,870,3.7321,1.0,0.0,0.0,0.0,0.0,3.849717514124294,3.916091954022989,2.164367816091954
-117.92,34.0,36,116,30.0,193,35,3.8125,1.0,0.0,0.0,0.0,0.0,3.8666666666666663,3.3142857142857145,5.514285714285714
-123.98,40.88,41,1719,372.0,844,336,2.6923,1.0,0.0,0.0,0.0,0.0,4.620967741935484,5.116071428571429,2.511904761904762
-118.18,34.1,10,1907,398.0,921,369,4.875,1.0,0.0,0.0,0.0,0.0,4.791457286432161,5.168021680216802,2.4959349593495936
-118.29,34.18,36,3120,620.0,1441,612,3.9041,1.0,0.0,0.0,0.0,0.0,5.032258064516129,5.098039215686274,2.354575163398693
-118.16,34.69,35,3114,583.0,1974,545,3.9028,0.0,1.0,0.0,0.0,0.0,5.341337907375643,5.713761467889908,3.622018348623853
-122.31,37.56,45,1792,301.0,829,318,4.9013,0.0,0.0,0.0,0.0,1.0,5.953488372093023,5.635220125786163,2.606918238993711
-117.99,33.73,20,3182,884.0,1770,817,3.1912,1.0,0.0,0.0,0.0,0.0,3.5995475113122173,3.8947368421052633,2.1664626682986534
-119.29,34.4,22,3891,657.0,1727,581,4.2656,0.0,0.0,0.0,0.0,1.0,5.922374429223744,6.697074010327023,2.972461273666093
-117.68,33.49,17,2232,372.0,1072,385,4.245,1.0,0.0,0.0,0.0,0.0,6.0,5.797402597402598,2.7844155844155845
-117.02,33.76,20,1317,203.0,453,158,2.8393,0.0,1.0,0.0,0.0,0.0,6.487684729064039,8.335443037974683,2.867088607594937
-118.44,34.28,32,527,146.0,582,143,1.7708,1.0,0.0,0.0,0.0,0.0,3.6095890410958895,3.685314685314685,4.06993006993007
-118.3,34.1,25,3926,1715.0,4865,1612,1.6112,1.0,0.0,0.0,0.0,0.0,2.2892128279883384,2.435483870967742,3.017990074441687
-119.22,34.18,17,3332,762.0,1797,673,4.4292,0.0,0.0,0.0,0.0,1.0,4.37270341207349,4.950965824665676,2.670133729569093
-121.93,37.54,25,1354,192.0,596,220,6.629,1.0,0.0,0.0,0.0,0.0,7.052083333333333,6.154545454545454,2.709090909090909
-120.77,38.38,15,4221,816.0,1737,743,2.3125,0.0,1.0,0.0,0.0,0.0,5.172794117647059,5.681022880215343,2.3378196500672948
-116.98,32.8,28,5721,1029.0,2672,1054,3.963,1.0,0.0,0.0,0.0,0.0,5.559766763848397,5.427893738140417,2.535104364326376
-118.31,34.0,52,2709,642.0,1751,613,2.1116,1.0,0.0,0.0,0.0,0.0,4.219626168224299,4.419249592169657,2.856443719412724
-119.79,36.55,32,1393,276.0,999,245,2.0216,0.0,1.0,0.0,0.0,0.0,5.047101449275362,5.685714285714286,4.077551020408163
-121.41,38.52,25,3087,720.0,2529,708,1.8689,0.0,1.0,0.0,0.0,0.0,4.2875,4.360169491525424,3.5720338983050848
-121.09,37.33,40,524,112.0,329,96,1.7188,0.0,1.0,0.0,0.0,0.0,4.678571428571429,5.458333333333333,3.427083333333333
-122.47,37.68,31,4077,777.0,2544,738,4.5337,0.0,0.0,0.0,0.0,1.0,5.247104247104248,5.524390243902439,3.4471544715447155
-117.65,33.4,17,2737,654.0,910,492,3.5729,0.0,0.0,0.0,0.0,1.0,4.185015290519877,5.563008130081301,1.8495934959349596
-118.41,33.98,33,3331,777.0,1695,735,3.9727,1.0,0.0,0.0,0.0,0.0,4.287001287001287,4.531972789115646,2.306122448979592
-119.74,36.74,39,4893,1210.0,4749,1067,1.2065,0.0,1.0,0.0,0.0,0.0,4.0438016528925615,4.585754451733833,4.450796626054358
-118.56,34.22,35,1843,329.0,1041,317,4.4271,1.0,0.0,0.0,0.0,0.0,5.601823708206687,5.813880126182966,3.2839116719242902
-122.61,41.74,15,4206,922.0,1863,869,2.0591,0.0,1.0,0.0,0.0,0.0,4.561822125813449,4.840046029919447,2.143843498273878
-118.09,33.7,13,4770,969.0,2261,972,5.883,0.0,0.0,0.0,0.0,1.0,4.922600619195046,4.907407407407407,2.3261316872427984
-118.45,34.26,35,1637,300.0,894,302,4.175,1.0,0.0,0.0,0.0,0.0,5.456666666666667,5.420529801324503,2.9602649006622515
-121.76,37.67,6,3023,518.0,1225,468,6.3705,0.0,1.0,0.0,0.0,0.0,5.835907335907336,6.4594017094017095,2.6175213675213675
-118.1,34.7,5,10356,1647.0,4562,1427,4.9806,0.0,1.0,0.0,0.0,0.0,6.287795992714026,7.25718290119131,3.196916608269096
-117.22,32.95,4,18123,3173.0,7301,2964,6.357,0.0,0.0,0.0,0.0,1.0,5.711629372833281,6.114372469635628,2.463225371120108
-121.27,38.13,52,1081,257.0,437,225,2.1979,0.0,1.0,0.0,0.0,0.0,4.206225680933852,4.804444444444444,1.9422222222222223
-119.06,36.15,20,1282,273.0,852,247,1.6354,0.0,1.0,0.0,0.0,0.0,4.695970695970696,5.190283400809717,3.4493927125506074
-121.13,38.47,16,2574,441.0,1041,428,3.6645,0.0,1.0,0.0,0.0,0.0,5.836734693877551,6.014018691588785,2.432242990654206
-118.18,34.04,36,1807,630.0,2118,669,1.55,1.0,0.0,0.0,0.0,0.0,2.8682539682539683,2.701046337817638,3.1659192825112106
-122.02,37.54,31,1240,264.0,719,236,3.535,0.0,0.0,0.0,1.0,0.0,4.696969696969697,5.254237288135593,3.046610169491525
-121.83,37.02,22,1903,350.0,760,322,2.9559,1.0,0.0,0.0,0.0,0.0,5.437142857142857,5.909937888198757,2.360248447204969
-118.19,33.79,30,3107,994.0,3543,850,1.9387,0.0,0.0,0.0,0.0,1.0,3.125754527162978,3.655294117647059,4.168235294117647
-122.23,38.15,33,1253,238.0,753,236,1.756,0.0,0.0,0.0,1.0,0.0,5.264705882352941,5.309322033898305,3.190677966101695
-121.94,38.03,27,1654,478.0,1141,420,1.4871,0.0,1.0,0.0,0.0,0.0,3.4602510460251046,3.9380952380952383,2.716666666666667
